Years of Age,Gender,N,Omission Mean,Omission SD,Commission Mean,Commission SD,Response Time Mean,Response Time SD,Variability Mean,Variability SD,D Prime Mean,D Prime SD
4,Male,24,28.81,20.51,17.34,12.54,783.42,87.71,330.08,65.98,1.68,0.69
4,Female,26,33.38,21.06,10.75,7.46,826.69,104.27,325.46,91.67,1.86,0.84
5,Male,66,14.17,11.90,10.27,6.92,723.69,147.40,262.94,63.33,2.59,0.65
5,Female,80,14.95,12.92,6.91,7.05,767.90,126.78,260.40,55.69,2.93,0.98
6,Male,19,8.95,7.80,10.37,6.85,604.32,120.24,236.95,54.41,2.96,0.94
6,Female,23,8.87,9.77,6.78,4.16,667.00,74.27,248.04,38.79,3.10,0.70
7,Male,61,6.54,7.55,10.97,8.47,558.70,108.12,223.15,54.93,3.19,1.04
7,Female,61,4.00,4.30,6.89,5.02,608.28,99.87,215.87,47.89,3.84,1.20
8,Male,36,2.17,2.94,8.61,5.23,487.19,86.14,176.92,47.66,4.22,1.24
8,Female,38,1.87,2.46,6.61,4.28,544.34,79.54,192.79,37.89,4.31,1.19
9,Male,57,4.35,14.22,9.39,6.52,458.56,80.75,161.74,43.81,4.25,1.44
9,Female,55,1.07,1.50,6.53,4.17,498.80,71.53,164.82,38.17,4.71,1.23
10,Male,33,2.45,6.87,7.70,3.20,402.15,58.04,137.39,39.30,4.60,1.29
10,Female,34,0.53,0.90,5.65,4.23,438.47,74.24,138.32,38.78,5.39,1.41
11,Male,55,1.93,7.28,8.69,5.34,379.33,66.01,123.82,33.70,4.69,1.48
11,Female,60,0.68,1.26,6.65,4.16,412.80,71.07,130.95,34.36,5.06,1.17
12,Male,37,0.68,1.15,6.34,3.82,389.92,73.81,125.05,37.09,4.97,1.15
12,Female,49,0.53,0.92,4.59,4.16,410.29,80.96,122.33,40.89,5.34,1.26
13,Male,66,0.67,1.44,4.93,3.93,379.74,60.77,108.35,33.71,5.16,1.22
13,Female,69,0.55,1.39,3.81,2.85,379.71,56.85,103.09,29.61,5.14,1.14
14,Male,46,0.31,0.47,3.97,3.31,383.43,65.82,104.70,35.07,5.32,1.05
14,Female,36,0.27,0.65,2.95,2.60,383.36,62.93,100.39,34.64,5.71,1.12
15,Male,61,0.69,1.31,3.64,2.82,361.15,53.54,96.59,27.34,5.25,1.19
15,Female,58,0.41,0.82,3.45,3.39,374.41,61.85,90.93,22.71,5.63,1.42
16,Male,22,0.77,1.42,4.19,4.54,354.82,51.97,91.59,25.77,5.16,1.36
16,Female,29,0.72,1.42,2.87,2.46,379.62,60.33,100.83,32.13,5.56,1.31
17,Male,18,0.27,0.30,2.79,3.11,377.89,45.92,95.94,27.72,5.63,1.51
17,Female,18,0.38,0.75,2.21,2.26,376.72,48.55,89.56,20.04,5.88,1.08
18,Male,32,0.35,0.42,3.86,3.04,373.94,64.20,89.84,29.15,5.18,1.04
18,Female,66,0.35,0.80,3.21,2.87,402.44,60.60,86.58,23.18,5.49,1.08
19,Male,25,0.07,0.18,2.17,1.52,404.04,56.86,82.92,20.07,6.24,1.00
19,Female,54,0.58,1.81,3.73,3.38,403.52,49.63,86.06,23.46,5.44,1.14
20-29,Male,19,0.37,0.72,4.81,3.48,383.58,52.36,83.53,20.86,5.30,1.08
20-29,Female,30,0.55,1.21,2.29,2.66,421.07,71.26,88.63,29.06,5.89,1.25
30-39,Male,4,0.00,0.01,1.62,1.05,355.25,72.94,64.00,12.83,6.49,0.36
30-39,Female,22,0.14,0.25,1.77,1.56,369.77,53.53,81.36,24.57,6.05,0.96
40-49,Male,14,0.02,0.08,2.76,1.80,331.93,31.25,66.14,11.60,6.29,0.84
40-49,Female,19,0.06,0.13,1.88,2.01,405.32,66.85,81.89,21.06,6.21,0.85
50-59,Male,8,0.19,0.28,2.16,1.22,442.88,46.85,75.38,11.55,5.71,1.02
50-59,Female,16,0.15,0.32,1.85,2.33,432.06,41.57,79.56,17.37,6.20,1.22
60-69,Male,12,0.10,0.24,1.95,2.22,447.17,35.92,86.50,22.93,6.19,0.91
60-69,Female,24,0.22,0.31,2.69,2.53,442.75,57.71,81.67,16.73,5.76,1.23
70-79,Male,12,1.47,2.22,4.17,3.32,476.75,55.65,107.08,33.85,4.77,1.35
70-79,Female,39,0.73,1.71,2.55,2.03,480.23,50.35,97.87,26.33,5.21,1.01
80+,Male,8,2.47,2.47,5.83,3.87,502.25,68.44,128.88,21.68,3.80,0.58
80+,Female,23,2.12,3.11,3.50,3.64,509.57,63.09,115.00,48.39,4.63,1.21

